Subject,Sex,NativeLanguage,Word,Length,Class,RT
A2,M,English,leek,4,plant,6.721426
A2,M,English,woodpecker,10,animal,6.222576
A2,M,English,shark,5,animal,6.154858
A2,M,English,vulture,7,animal,6.53814
A2,M,English,avocado,7,plant,6.025866
A2,M,English,crocodile,9,animal,5.942799
A2,M,English,frog,4,animal,6.086775
A2,M,English,cucumber,8,plant,6.20859
A2,M,English,eagle,5,animal,6.152733
A2,M,English,tomato,6,plant,6.22059
A2,M,English,broccoli,8,plant,6.280396
A2,M,English,eggplant,8,plant,6.159095
A2,M,English,strawberry,10,plant,5.993961
A2,M,English,stork,5,animal,6.641182
A2,M,English,blackberry,10,plant,6.248043
A2,M,English,clove,5,plant,6.230481
A2,M,English,bunny,5,animal,6.163315
A2,M,English,horse,5,animal,5.966147
A2,M,English,mole,4,animal,6.434547
A2,M,English,ant,3,animal,6.077642
A2,M,English,goose,5,animal,5.902633
A2,M,English,pear,4,plant,6.249975
A2,M,English,snake,5,animal,6.095825
A2,M,English,bat,3,animal,6.169611
A2,M,English,wasp,4,animal,6.214608
A2,M,English,monkey,6,animal,6.345636
A2,M,English,banana,6,plant,6.363028
A2,M,English,potato,6,plant,6.169611
A2,M,English,carrot,6,plant,6.278521
A2,M,English,orange,6,plant,6.115892
A2,M,English,pineapple,9,plant,6.285998
A2,M,English,sheep,5,animal,6.251904
A2,M,English,melon,5,plant,6.175867
A2,M,English,butterfly,9,animal,6.113682
A2,M,English,magpie,6,animal,6.284134
A2,M,English,blueberry,9,plant,6.013715
A2,M,English,peanut,6,plant,6.075346
A2,M,English,mushroom,8,plant,6.104793
A2,M,English,pig,3,animal,5.828946
A2,M,English,squirrel,8,animal,6.522093
A2,M,English,elephant,8,animal,6.23637
A2,M,English,swan,4,animal,6.489205
A2,M,English,gherkin,7,plant,6.700731
A2,M,English,tortoise,8,animal,6.466145
A2,M,English,beetroot,8,plant,6.257668
A2,M,English,almond,6,plant,6.315358
A2,M,English,fox,3,animal,6.308098
A2,M,English,grape,5,plant,6.23637
A2,M,English,cat,3,animal,6.198479
A2,M,English,apple,5,plant,6.12905
A3,F,Other,strawberry,10,plant,6.410175
A3,F,Other,crocodile,9,animal,6.315358
A3,F,Other,cherry,6,plant,6.385194
A3,F,Other,bunny,5,animal,6.35437
A3,F,Other,paprika,7,plant,6.716595
A3,F,Other,lemon,5,plant,6.261492
A3,F,Other,clove,5,plant,6.304449
A3,F,Other,ant,3,animal,6.408529
A3,F,Other,pig,3,animal,6.331502
A3,F,Other,shark,5,animal,6.401917
A3,F,Other,kiwi,4,plant,6.313548
A3,F,Other,owl,3,animal,6.483107
A3,F,Other,avocado,7,plant,6.327937
A3,F,Other,fox,3,animal,6.234411
A3,F,Other,goat,4,animal,6.36647
A3,F,Other,walnut,6,plant,6.327937
A3,F,Other,tortoise,8,animal,6.472346
A3,F,Other,goose,5,animal,6.376727
A3,F,Other,eggplant,8,plant,6.383507
A3,F,Other,moose,5,animal,6.36647
A3,F,Other,gull,4,animal,6.510258
A3,F,Other,eagle,5,animal,6.253829
A3,F,Other,stork,5,animal,6.263398
A3,F,Other,blueberry,9,plant,6.401917
A3,F,Other,squid,5,animal,6.280396
A3,F,Other,asparagus,9,plant,6.44572
A3,F,Other,carrot,6,plant,6.317165
A3,F,Other,lettuce,7,plant,6.356108
A3,F,Other,snake,5,animal,6.238325
A3,F,Other,hedgehog,8,animal,6.804615
A3,F,Other,butterfly,9,animal,6.376727
A3,F,Other,beaver,6,animal,6.240276
A3,F,Other,banana,6,plant,6.194405
A3,F,Other,cat,3,animal,6.447306
A3,F,Other,elephant,8,animal,6.359574
A3,F,Other,peanut,6,plant,6.437752
A3,F,Other,cucumber,8,plant,6.302619
A3,F,Other,chicken,7,animal,6.263398
A3,F,Other,mustard,7,plant,6.251904
A3,F,Other,apple,5,plant,6.33328
A3,F,Other,monkey,6,animal,6.171701
A3,F,Other,melon,5,plant,6.289716
A3,F,Other,leek,4,plant,6.25575
A3,F,Other,camel,5,animal,6.253829
A3,F,Other,woodpecker,10,animal,6.487684
A3,F,Other,reindeer,8,animal,6.452049
A3,F,Other,donkey,6,animal,6.405228
A3,F,Other,orange,6,plant,6.242223
A3,F,Other,dolphin,7,animal,6.437752
A3,F,Other,blackberry,10,plant,6.375025
A3,F,Other,mole,4,animal,6.475433
A3,F,Other,bat,3,animal,6.452049
A3,F,Other,mouse,5,animal,6.415097
A3,F,Other,whale,5,animal,6.378426
A3,F,Other,broccoli,8,plant,6.444131
A3,F,Other,frog,4,animal,6.361302
A3,F,Other,tomato,6,plant,6.55108
A3,F,Other,almond,6,plant,7.044033
A3,F,Other,vulture,7,animal,6.459904
A3,F,Other,mushroom,8,plant,6.410175
A3,F,Other,lion,4,animal,6.361302
A3,F,Other,dog,3,animal,6.242223
A3,F,Other,pear,4,plant,6.458338
A3,F,Other,radish,6,plant,7.132498
A3,F,Other,olive,5,plant,6.388561
A3,F,Other,bee,3,animal,6.419995
A3,F,Other,magpie,6,animal,6.43294
A3,F,Other,potato,6,plant,6.2106
A3,F,Other,pineapple,9,plant,6.390241
A3,F,Other,wasp,4,animal,6.605298
A3,F,Other,beetroot,8,plant,6.459904
A3,F,Other,squirrel,8,animal,6.416732
A3,F,Other,sheep,5,animal,6.495266
A3,F,Other,apricot,7,plant,6.278521
A3,F,Other,horse,5,animal,6.421622
A3,F,Other,spider,6,animal,6.434547
A3,F,Other,grape,5,plant,6.466145
A3,F,Other,gherkin,7,plant,6.44254
A3,F,Other,swan,4,animal,6.380123
C,F,English,vulture,7,animal,6.533789
C,F,English,camel,5,animal,6.53814
C,F,English,kiwi,4,plant,6.246107
C,F,English,avocado,7,plant,6.416732
C,F,English,gull,4,animal,6.284134
C,F,English,banana,6,plant,6.473891
C,F,English,whale,5,animal,6.269096
C,F,English,donkey,6,animal,6.398595
C,F,English,shark,5,animal,6.196444
C,F,English,chicken,7,animal,6.33328
C,F,English,monkey,6,animal,6.173786
C,F,English,wasp,4,animal,6.173786
C,F,English,cat,3,animal,6.180017
C,F,English,eggplant,8,plant,6.386879
C,F,English,gherkin,7,plant,6.499787
C,F,English,bat,3,animal,6.173786
C,F,English,bee,3,animal,6.070738
C,F,English,spider,6,animal,6.304449
C,F,English,squid,5,animal,6.20859
C,F,English,pineapple,9,plant,6.395262
C,F,English,swan,4,animal,6.483107
C,F,English,strawberry,10,plant,6.293419
C,F,English,sheep,5,animal,6.293419
C,F,English,walnut,6,plant,6.272877
C,F,English,tortoise,8,animal,6.496775
C,F,English,lion,4,animal,6.25575
C,F,English,goat,4,animal,6.234411
C,F,English,asparagus,9,plant,6.380123
C,F,English,apricot,7,plant,6.306275
C,F,English,pig,3,animal,6.259581
C,F,English,apple,5,plant,6.249975
C,F,English,mustard,7,plant,6.280396
C,F,English,hedgehog,8,animal,6.487684
C,F,English,ant,3,animal,6.586172
C,F,English,fox,3,animal,6.411818
C,F,English,elephant,8,animal,6.36647
C,F,English,moose,5,animal,6.214608
C,F,English,beetroot,8,plant,6.276643
C,F,English,carrot,6,plant,6.326149
C,F,English,snake,5,animal,6.270988
C,F,English,olive,5,plant,6.190315
C,F,English,pear,4,plant,6.115892
C,F,English,butterfly,9,animal,6.285998
C,F,English,blueberry,9,plant,6.295266
C,F,English,mole,4,animal,6.287859
C,F,English,cucumber,8,plant,6.284134
C,F,English,orange,6,plant,6.23637
C,F,English,lemon,5,plant,6.186209
C,F,English,horse,5,animal,6.43615
C,F,English,squirrel,8,animal,6.369901
C,F,English,goose,5,animal,6.152733
C,F,English,bunny,5,animal,6.146329
C,F,English,almond,6,plant,6.440947
C,F,English,clove,5,plant,6.173786
C,F,English,peanut,6,plant,6.331502
C,F,English,beaver,6,animal,6.486161
C,F,English,mushroom,8,plant,6.171701
C,F,English,dog,3,animal,6.324359
C,F,English,frog,4,animal,6.679599
C,F,English,stork,5,animal,6.311735
C,F,English,potato,6,plant,6.423247
C,F,English,radish,6,plant,6.591674
C,F,English,paprika,7,plant,6.405228
C,F,English,blackberry,10,plant,6.338594
C,F,English,lettuce,7,plant,6.418365
C,F,English,mouse,5,animal,6.376727
C,F,English,crocodile,9,animal,6.163315
C,F,English,reindeer,8,animal,6.46925
C,F,English,broccoli,8,plant,6.265301
C,F,English,tomato,6,plant,6.385194
C,F,English,leek,4,plant,6.493754
C,F,English,magpie,6,animal,6.426488
C,F,English,owl,3,animal,6.171701
C,F,English,cherry,6,plant,6.180017
C,F,English,eagle,5,animal,6.293419
C,F,English,woodpecker,10,animal,6.304449
C,F,English,dolphin,7,animal,6.364751
C,F,English,melon,5,plant,6.246107
C,F,English,grape,5,plant,6.234411
D,M,Other,peanut,6,plant,6.232448
D,M,Other,swan,4,animal,6.349139
D,M,Other,lettuce,7,plant,6.375025
D,M,Other,walnut,6,plant,6.315358
D,M,Other,beetroot,8,plant,6.440947
D,M,Other,broccoli,8,plant,6.284134
D,M,Other,spider,6,animal,6.300786
D,M,Other,cucumber,8,plant,6.458338
D,M,Other,blackberry,10,plant,6.350886
D,M,Other,snake,5,animal,6.380123
D,M,Other,cat,3,animal,6.272877
D,M,Other,fox,3,animal,6.287859
D,M,Other,gherkin,7,plant,6.466145
D,M,Other,tomato,6,plant,6.539586
D,M,Other,squirrel,8,animal,6.472346
D,M,Other,woodpecker,10,animal,6.33328
D,M,Other,squid,5,animal,6.602588
D,M,Other,butterfly,9,animal,6.437752
D,M,Other,orange,6,plant,6.122493
D,M,Other,beaver,6,animal,6.34388
D,M,Other,dog,3,animal,6.122493
D,M,Other,banana,6,plant,6.084499
D,M,Other,blueberry,9,plant,6.175867
D,M,Other,donkey,6,animal,6.226537
D,M,Other,pig,3,animal,5.993961
D,M,Other,paprika,7,plant,6.320768
D,M,Other,carrot,6,plant,6.588926
D,M,Other,camel,5,animal,6.214608
D,M,Other,whale,5,animal,6.434547
D,M,Other,mouse,5,animal,6.313548
D,M,Other,kiwi,4,plant,6.244167
D,M,Other,avocado,7,plant,6.448889
D,M,Other,cherry,6,plant,6.261492
D,M,Other,owl,3,animal,6.309918
D,M,Other,reindeer,8,animal,6.514713
D,M,Other,lion,4,animal,6.265301
D,M,Other,tortoise,8,animal,6.265301
D,M,Other,olive,5,plant,6.419995
D,M,Other,mole,4,animal,6.361302
D,M,Other,apricot,7,plant,6.378426
D,M,Other,shark,5,animal,6.49224
D,M,Other,elephant,8,animal,6.295266
D,M,Other,radish,6,plant,6.368187
D,M,Other,bat,3,animal,6.287859
D,M,Other,goat,4,animal,6.309918
D,M,Other,bunny,5,animal,6.395262
D,M,Other,grape,5,plant,6.165418
D,M,Other,lemon,5,plant,6.350886
D,M,Other,hedgehog,8,animal,6.59987
D,M,Other,apple,5,plant,6.198479
D,M,Other,horse,5,animal,6.297109
D,M,Other,strawberry,10,plant,6.311735
D,M,Other,stork,5,animal,6.594413
D,M,Other,melon,5,plant,6.352629
D,M,Other,gull,4,animal,6.40688
D,M,Other,moose,5,animal,6.467699
D,M,Other,sheep,5,animal,6.33328
D,M,Other,goose,5,animal,6.956545
D,M,Other,ant,3,animal,6.44254
D,M,Other,asparagus,9,plant,6.54535
D,M,Other,monkey,6,animal,6.244167
D,M,Other,pineapple,9,plant,6.771936
D,M,Other,wasp,4,animal,6.395262
D,M,Other,mushroom,8,plant,6.51323
D,M,Other,leek,4,plant,6.5525080000000004
D,M,Other,dolphin,7,animal,6.444131
D,M,Other,almond,6,plant,6.415097
D,M,Other,clove,5,plant,6.59987
D,M,Other,mustard,7,plant,6.455199
D,M,Other,pear,4,plant,6.276643
D,M,Other,chicken,7,animal,6.98379
D,M,Other,eagle,5,animal,6.658011
D,M,Other,vulture,7,animal,6.790097
D,M,Other,frog,4,animal,6.741701
D,M,Other,potato,6,plant,6.572283
D,M,Other,magpie,6,animal,6.352629
D,M,Other,bee,3,animal,6.603944
D,M,Other,crocodile,9,animal,6.507278
D,M,Other,eggplant,8,plant,6.719013
I,F,Other,dolphin,7,animal,6.194405
I,F,Other,vulture,7,animal,6.566672
I,F,Other,pig,3,animal,6.23637
I,F,Other,cherry,6,plant,6.495266
I,F,Other,orange,6,plant,6.09131
I,F,Other,shark,5,animal,6.09357
I,F,Other,crocodile,9,animal,6.295266
I,F,Other,reindeer,8,animal,6.363028
I,F,Other,lion,4,animal,6.066108
I,F,Other,donkey,6,animal,6.102559
I,F,Other,gull,4,animal,6.46925
I,F,Other,blueberry,9,plant,6.259581
I,F,Other,snake,5,animal,7.135687
I,F,Other,grape,5,plant,5.97381
I,F,Other,carrot,6,plant,5.905362
I,F,Other,butterfly,9,animal,6.263398
I,F,Other,apple,5,plant,6.030685
I,F,Other,lettuce,7,plant,6.431331
I,F,Other,asparagus,9,plant,6.483107
I,F,Other,goat,4,animal,6.194405
I,F,Other,clove,5,plant,6.061457
I,F,Other,bunny,5,animal,6.368187
I,F,Other,swan,4,animal,6.282267
I,F,Other,eggplant,8,plant,6.320768
I,F,Other,strawberry,10,plant,6.329721
I,F,Other,mustard,7,plant,6.390241
I,F,Other,magpie,6,animal,6.368187
I,F,Other,beaver,6,animal,6.383507
I,F,Other,broccoli,8,plant,6.848005
I,F,Other,elephant,8,animal,6.146329
I,F,Other,banana,6,plant,6.09131
I,F,Other,sheep,5,animal,6.167516
I,F,Other,melon,5,plant,6.238325
I,F,Other,almond,6,plant,6.326149
I,F,Other,potato,6,plant,5.976351
I,F,Other,hedgehog,8,animal,6.331502
I,F,Other,leek,4,plant,6.411818
I,F,Other,whale,5,animal,6.148468
I,F,Other,tomato,6,plant,6.049733
I,F,Other,mouse,5,animal,5.961005
I,F,Other,ant,3,animal,6.327937
I,F,Other,goose,5,animal,6.251904
I,F,Other,paprika,7,plant,6.401917
I,F,Other,woodpecker,10,animal,6.837333
I,F,Other,pineapple,9,plant,6.154858
I,F,Other,bat,3,animal,6.161207
I,F,Other,cat,3,animal,6.169611
I,F,Other,bee,3,animal,5.998937
I,F,Other,avocado,7,plant,6.161207
I,F,Other,eagle,5,animal,6.068426
I,F,Other,olive,5,plant,6.011267
I,F,Other,beetroot,8,plant,6.212606
I,F,Other,frog,4,animal,6.248043
I,F,Other,mushroom,8,plant,6.357842
I,F,Other,gherkin,7,plant,6.434547
I,F,Other,spider,6,animal,6.177944
I,F,Other,fox,3,animal,6.421622
I,F,Other,monkey,6,animal,6.575076
I,F,Other,squirrel,8,animal,6.206576
I,F,Other,mole,4,animal,6.369901
I,F,Other,dog,3,animal,6.259581
I,F,Other,peanut,6,plant,6.186209
I,F,Other,owl,3,animal,6.109248
I,F,Other,wasp,4,animal,6.666957
I,F,Other,squid,5,animal,6.09357
I,F,Other,pear,4,plant,5.981414
I,F,Other,chicken,7,animal,6.154858
I,F,Other,radish,6,plant,6.063785
I,F,Other,cucumber,8,plant,6.263398
I,F,Other,apricot,7,plant,6.070738
I,F,Other,camel,5,animal,5.921578
I,F,Other,blackberry,10,plant,6.398595
I,F,Other,lemon,5,plant,5.996452
I,F,Other,tortoise,8,animal,6.400257
I,F,Other,kiwi,4,plant,5.945421
I,F,Other,horse,5,animal,6.008813
I,F,Other,stork,5,animal,6.642487
I,F,Other,walnut,6,plant,6.244167
I,F,Other,moose,5,animal,6.188264
J,F,Other,beaver,6,animal,6.714171
J,F,Other,hedgehog,8,animal,6.075346
J,F,Other,gull,4,animal,6.519147
J,F,Other,carrot,6,plant,6.34388
J,F,Other,clove,5,plant,6.34388
J,F,Other,mouse,5,animal,6.496775
J,F,Other,bunny,5,animal,6.848005
J,F,Other,pig,3,animal,6.261492
J,F,Other,ant,3,animal,6.246107
J,F,Other,eggplant,8,plant,6.300786
J,F,Other,gherkin,7,plant,6.194405
J,F,Other,wasp,4,animal,6.51323
J,F,Other,fox,3,animal,6.148468
J,F,Other,lemon,5,plant,6.180017
J,F,Other,owl,3,animal,6.356108
J,F,Other,dog,3,animal,6.124683
J,F,Other,shark,5,animal,6.352629
J,F,Other,apricot,7,plant,6.359574
J,F,Other,whale,5,animal,6.180017
J,F,Other,spider,6,animal,6.324359
J,F,Other,pear,4,plant,6.393591
J,F,Other,mushroom,8,plant,6.113682
J,F,Other,squirrel,8,animal,6.317165
J,F,Other,pineapple,9,plant,6.285998
J,F,Other,chicken,7,animal,6.177944
J,F,Other,goat,4,animal,6.265301
J,F,Other,crocodile,9,animal,6.113682
J,F,Other,horse,5,animal,6.308098
J,F,Other,tomato,6,plant,6.161207
J,F,Other,broccoli,8,plant,6.287859
J,F,Other,mole,4,animal,6.586172
J,F,Other,bat,3,animal,6.196444
J,F,Other,donkey,6,animal,6.098074
J,F,Other,mustard,7,plant,6.156979
J,F,Other,squid,5,animal,6.327937
J,F,Other,frog,4,animal,6.098074
J,F,Other,dolphin,7,animal,6.098074
J,F,Other,reindeer,8,animal,6.139885
J,F,Other,lion,4,animal,6.040255
J,F,Other,potato,6,plant,6.146329
J,F,Other,eagle,5,animal,6.289716
J,F,Other,blackberry,10,plant,6.282267
J,F,Other,camel,5,animal,6.345636
J,F,Other,radish,6,plant,6.198479
J,F,Other,beetroot,8,plant,6.267201
J,F,Other,apple,5,plant,6.100319
J,F,Other,grape,5,plant,6.049733
J,F,Other,cucumber,8,plant,6.324359
J,F,Other,cherry,6,plant,6.122493
J,F,Other,butterfly,9,animal,6.391917
J,F,Other,vulture,7,animal,6.336826
J,F,Other,walnut,6,plant,6.411818
J,F,Other,magpie,6,animal,6.566672
J,F,Other,strawberry,10,plant,6.289716
J,F,Other,banana,6,plant,6.082219
J,F,Other,elephant,8,animal,6.318968
J,F,Other,stork,5,animal,6.703188
J,F,Other,olive,5,plant,6.204558
J,F,Other,goose,5,animal,6.086775
J,F,Other,swan,4,animal,6.280396
J,F,Other,almond,6,plant,6.400257
J,F,Other,asparagus,9,plant,5.976351
J,F,Other,leek,4,plant,6.163315
J,F,Other,orange,6,plant,6.102559
J,F,Other,woodpecker,10,animal,5.910797
J,F,Other,tortoise,8,animal,6.335054
J,F,Other,lettuce,7,plant,6.263398
J,F,Other,cat,3,animal,6.12905
J,F,Other,sheep,5,animal,6.113682
J,F,Other,avocado,7,plant,6.317165
J,F,Other,kiwi,4,plant,6.133398
J,F,Other,melon,5,plant,6.2106
J,F,Other,snake,5,animal,6.163315
J,F,Other,moose,5,animal,6.12905
J,F,Other,monkey,6,animal,6.2106
J,F,Other,blueberry,9,plant,6.077642
J,F,Other,paprika,7,plant,6.317165
J,F,Other,peanut,6,plant,6.232448
J,F,Other,bee,3,animal,6.084499
K,F,English,owl,3,animal,6.011267
K,F,English,chicken,7,animal,6.075346
K,F,English,vulture,7,animal,6.131226
K,F,English,orange,6,plant,6.109248
K,F,English,blackberry,10,plant,6.311735
K,F,English,lion,4,animal,5.998937
K,F,English,sheep,5,animal,6.144186
K,F,English,wasp,4,animal,6.100319
K,F,English,avocado,7,plant,6.104793
K,F,English,radish,6,plant,6.070738
K,F,English,stork,5,animal,6.216606
K,F,English,dolphin,7,animal,6.001415
K,F,English,fox,3,animal,6.075346
K,F,English,grape,5,plant,6.204558
K,F,English,spider,6,animal,6.070738
K,F,English,lettuce,7,plant,6.230481
K,F,English,cucumber,8,plant,6.352629
K,F,English,bat,3,animal,6.297109
K,F,English,goose,5,animal,6.434547
K,F,English,leek,4,plant,6.318968
K,F,English,clove,5,plant,6.142037
K,F,English,elephant,8,animal,6.12905
K,F,English,woodpecker,10,animal,6.309918
K,F,English,pear,4,plant,5.950643
K,F,English,lemon,5,plant,5.852202
K,F,English,squirrel,8,animal,6.133398
K,F,English,gherkin,7,plant,6.192362
K,F,English,olive,5,plant,6.052089
K,F,English,monkey,6,animal,6.152733
K,F,English,cat,3,animal,6.111467
K,F,English,goat,4,animal,6.156979
K,F,English,potato,6,plant,5.894403
K,F,English,camel,5,animal,6.152733
K,F,English,apricot,7,plant,6.120297
K,F,English,swan,4,animal,6.169611
K,F,English,bunny,5,animal,6.037871
K,F,English,peanut,6,plant,6.326149
K,F,English,pineapple,9,plant,6.20859
K,F,English,magpie,6,animal,6.224558
K,F,English,walnut,6,plant,6.426488
K,F,English,paprika,7,plant,6.352629
K,F,English,crocodile,9,animal,6.182085
K,F,English,apple,5,plant,6.188264
K,F,English,carrot,6,plant,6.71174
K,F,English,moose,5,animal,6.196444
K,F,English,mouse,5,animal,6.194405
K,F,English,reindeer,8,animal,6.284134
K,F,English,eagle,5,animal,6.137727
K,F,English,mushroom,8,plant,6.188264
K,F,English,beaver,6,animal,6.580639
K,F,English,asparagus,9,plant,6.300786
K,F,English,donkey,6,animal,6.077642
K,F,English,frog,4,animal,6.329721
K,F,English,horse,5,animal,6.079933
K,F,English,shark,5,animal,6.165418
K,F,English,strawberry,10,plant,6.45677
K,F,English,cherry,6,plant,6.190315
K,F,English,bee,3,animal,6.35437
K,F,English,squid,5,animal,6.357842
K,F,English,beetroot,8,plant,6.529419
K,F,English,melon,5,plant,6.324359
K,F,English,almond,6,plant,6.313548
K,F,English,kiwi,4,plant,6.240276
K,F,English,tomato,6,plant,5.988961
K,F,English,pig,3,animal,6.033086
K,F,English,mole,4,animal,5.953243
K,F,English,whale,5,animal,6.037871
K,F,English,broccoli,8,plant,6.152733
K,F,English,snake,5,animal,6.095825
K,F,English,banana,6,plant,6.077642
K,F,English,eggplant,8,plant,6.077642
K,F,English,butterfly,9,animal,6.016157
K,F,English,blueberry,9,plant,6.177944
K,F,English,hedgehog,8,animal,6.493754
K,F,English,gull,4,animal,6.289716
K,F,English,dog,3,animal,6.486161
K,F,English,mustard,7,plant,6.122493
K,F,English,ant,3,animal,6.09131
K,F,English,tortoise,8,animal,6.398595
M1,F,English,pear,4,plant,6.061457
M1,F,English,beaver,6,animal,6.107023
M1,F,English,almond,6,plant,6.322565
M1,F,English,squid,5,animal,6.357842
M1,F,English,eagle,5,animal,6.120297
M1,F,English,camel,5,animal,6.100319
M1,F,English,magpie,6,animal,6.063785
M1,F,English,reindeer,8,animal,6.267201
M1,F,English,tomato,6,plant,6.137727
M1,F,English,shark,5,animal,6.200509
M1,F,English,olive,5,plant,6.214608
M1,F,English,gull,4,animal,6.391917
M1,F,English,monkey,6,animal,6.095825
M1,F,English,mouse,5,animal,6.163315
M1,F,English,hedgehog,8,animal,6.287859
M1,F,English,horse,5,animal,6.150603
M1,F,English,snake,5,animal,6.126869
M1,F,English,lion,4,animal,6.102559
M1,F,English,cherry,6,plant,6.148468
M1,F,English,swan,4,animal,6.066108
M1,F,English,goose,5,animal,6.150603
M1,F,English,mole,4,animal,6.040255
M1,F,English,frog,4,animal,6.075346
M1,F,English,apple,5,plant,6.113682
M1,F,English,crocodile,9,animal,6.144186
M1,F,English,elephant,8,animal,6.291569
M1,F,English,bat,3,animal,6.196444
M1,F,English,chicken,7,animal,6.356108
M1,F,English,mushroom,8,plant,6.156979
M1,F,English,gherkin,7,plant,6.011267
M1,F,English,tortoise,8,animal,6.390241
M1,F,English,lettuce,7,plant,6.173786
M1,F,English,donkey,6,animal,6.137727
M1,F,English,kiwi,4,plant,6.035481
M1,F,English,carrot,6,plant,6.066108
M1,F,English,stork,5,animal,6.347389
M1,F,English,potato,6,plant,6.126869
M1,F,English,spider,6,animal,6.244167
M1,F,English,orange,6,plant,6.148468
M1,F,English,leek,4,plant,6.263398
M1,F,English,pineapple,9,plant,6.122493
